RecordedDate,ResponseId,domain,Condition,understanding_pre_1,happy_pre_1,accuracy_post,accuracy_pre,understanding_post_1
2025-08-26 14:14:23,R_3KlQqNLPkGp5VkJ,art,AI,37,85,0.5,0.6,57
2025-08-26 14:15:22,R_8L6lv9oCEIPeHMz,art,AI,5,91,0.8,0.5,38
2025-08-26 14:21:39,R_7E1F68JmyudrDtT,art,AI,100,87,1,0.6,90
2025-08-26 16:58:33,R_8Mfi8QnPzNeZMnD,art,AI,0,22,0.3,0.7,12
2025-08-26 16:59:28,R_2UTm3FNC9hcsMwh,art,AI,39,70,0.8,0.5,49
2025-08-26 17:01:37,R_6GXqi0LLegOawpP,art,AI,44,73,0.8,0.6,70
2025-08-26 17:01:56,R_5mZYJPo0ez1Byx0,art,AI,16,66,0.4,0.4,0
2025-08-26 17:03:12,R_3fJrhUgftJ0x01M,art,AI,1,60,0.8,0.5,10
2025-08-26 17:03:15,R_8c2tIR6mpKCR1yp,art,AI,32,61,0.9,0.7,52
2025-08-26 17:05:05,R_8AQdJ7WirBSAwG6,art,AI,49,59,0.7,0.6,62
2025-08-26 17:08:39,R_59cBkU0X7ulpUM9,art,AI,21,83,0.5,0.6,49
2025-08-26 17:10:13,R_2dAKR06aQDmZv8U,art,AI,49,51,1,0.7,53
2025-08-26 17:10:53,R_5MaKczOIdBsWFQK,art,AI,63,85,0.6,0.5,87
2025-08-26 17:12:07,R_1P4I0UI5mDPIz2X,art,AI,29,51,0.6,0.5,28
2025-08-26 17:13:20,R_2P8fgi7goBM0l97,art,AI,40,64,0.2,0.4,23
2025-08-26 17:13:54,R_1JIRFrYq6Mi2t1Y,art,AI,7,9,0.4,0.5,23
